8-Oct,9-Oct,10-Oct,11-Oct,11-Oct,11-Oct,12-Oct,13-Oct,14-Oct,14-Oct,14-Oct,15-Oct,16-Oct,17-Oct,17-Oct,17-Oct,18-Oct,19-Oct,20-Oct
0,576,407,282,0,282,481,455,822,0,822,455,658,616,0,616,447,644,639
0,720,312,367,0,367,221,183,160,0,160,170,514,356,0,356,184,315,615
0,632,685,308,0,308,413,624,576,0,576,735,1191,1249,97,1152,1078,569,478
506,983,102,93,17,76,496,572,118,49,69,778,619,285,143,142,682,1085,681
765,734,197,214,214,0,930,801,346,346,0,1041,462,601,580,21,1055,905,0
1402,774,309,262,262,0,828,890,554,554,0,1141,758,494,494,0,854,879,0
999,483,302,207,207,0,815,818,495,495,0,503,345,803,803,0,1223,876,0
861,713,395,243,243,0,895,706,501,501,0,966,480,979,979,0,755,920,0
1369,586,458,268,268,0,576,716,692,692,0,844,426,631,631,0,968,968,0
733,452,208,340,340,0,944,527,707,707,0,582,702,807,807,0,954,717,0
912,655,185,230,230,0,474,873,719,719,0,862,719,844,844,0,947,665,0
903,270,353,241,241,0,259,875,614,614,0,1020,666,600,600,0,884,1222,0
993,244,341,231,231,0,222,967,680,680,0,826,721,1029,1029,0,470,775,0
1032,474,437,251,251,0,200,784,729,729,0,527,1055,941,941,0,788,942,0
1022,141,468,379,379,0,230,739,794,794,0,1150,927,1012,1012,0,742,831,0
916,251,420,378,378,0,376,847,842,842,0,966,761,1064,1064,0,854,744,0
869,331,236,375,375,0,594,747,825,825,0,828,740,883,883,0,803,980,0
1112,528,370,765,765,0,454,748,777,777,0,887,886,1140,1140,0,851,1025,0
825,694,517,689,689,0,499,669,1082,1082,0,701,961,1359,1359,0,1277,1115,0
899,522,186,742,742,0,717,508,1146,1146,0,665,702,909,909,0,1105,757,0
558,532,204,729,729,0,570,1126,707,707,0,941,1020,827,827,0,1229,1112,0
752,338,319,742,742,0,608,474,617,617,0,587,1124,742,742,0,873,750,0
1102,855,376,957,957,0,503,746,1292,1292,0,669,965,1267,1267,0,1456,2222,0
1152,625,327,431,431,0,927,535,1103,1103,0,586,1051,666,666,0,1289,935,0
