Nov 16,Nov 17,Nov 15,Nov 18,Nov 19
59.0,321.0,0.0,395.0,345.0
135.0,188.0,0.0,278.0,453.0
590.0,462.0,0.0,432.0,116.0
646.0,627.0,0.0,750.0,0.0
800.0,882.0,0.0,1238.0,0.0
979.0,940.0,0.0,1040.0,0.0
982.0,744.0,0.0,801.0,0.0
1032.0,693.0,0.0,885.0,0.0
863.0,898.0,0.0,895.0,0.0
743.0,708.0,0.0,900.0,0.0
802.0,688.0,0.0,1137.0,0.0
935.0,745.0,0.0,1203.0,0.0
533.0,480.0,0.0,690.0,0.0
446.0,537.0,0.0,665.0,0.0
850.0,656.0,0.0,974.0,0.0
1056.0,1022.0,0.0,1071.0,0.0
634.0,641.0,0.0,828.0,0.0
999.0,904.0,0.0,938.0,0.0
861.0,971.0,0.0,1049.0,0.0
929.0,923.0,0.0,913.0,0.0
171.0,997.0,0.0,869.0,0.0
826.0,814.0,0.0,637.0,0.0
1109.0,1112.0,0.0,434.0,0.0
1020.0,1124.0,2.0,431.0,0.0
