Hour,Dec 15,Dec 14,Dec 13,Dec 12
0,796.0,312.0,415.0,0.0
1,328.0,283.0,519.0,0.0
2,155.0,293.0,251.0,0.0
3,525.0,533.0,598.0,0.0
4,603.0,834.0,708.0,56.0
5,169.0,790.0,913.0,313.0
6,0.0,742.0,781.0,602.0
7,0.0,827.0,1099.0,446.0
8,0.0,818.0,576.0,699.0
9,0.0,845.0,872.0,910.0
10,0.0,790.0,526.0,670.0
11,0.0,788.0,509.0,597.0
12,0.0,850.0,577.0,604.0
13,0.0,879.0,695.0,873.0
14,0.0,890.0,607.0,556.0
15,0.0,967.0,957.0,559.0
16,0.0,866.0,795.0,779.0
17,0.0,1083.0,1030.0,940.0
18,0.0,1074.0,1112.0,958.0
19,0.0,1020.0,693.0,678.0
20,0.0,1070.0,1162.0,582.0
21,0.0,914.0,858.0,737.0
22,0.0,1121.0,922.0,613.0
23,0.0,1373.0,776.0,936.0
