Hour,Dec 15,Dec 17,Dec 16
0,0.0,896.0,680.0
1,0.0,355.0,258.0
2,0.0,219.0,349.0
3,0.0,450.0,832.0
4,63.0,729.0,714.0
5,469.0,981.0,1304.0
6,705.0,633.0,687.0
7,726.0,570.0,1056.0
8,686.0,820.0,665.0
9,708.0,717.0,1255.0
10,709.0,918.0,1161.0
11,662.0,794.0,878.0
12,790.0,673.0,605.0
13,626.0,739.0,1098.0
14,695.0,839.0,815.0
15,677.0,475.0,1093.0
16,794.0,643.0,960.0
17,688.0,1004.0,1091.0
18,757.0,837.0,1035.0
19,1088.0,959.0,712.0
20,1068.0,1099.0,750.0
21,581.0,1295.0,916.0
22,333.0,500.0,1442.0
23,683.0,243.0,514.0
