Oct 23,Oct 26,Oct 24,Oct 25
0.0,253.0,458.0,498.0
0.0,191.0,617.0,574.0
280.0,420.0,1162.0,626.0
609.0,107.0,575.0,813.0
286.0,0.0,799.0,1266.0
1184.0,0.0,989.0,945.0
521.0,0.0,1315.0,1037.0
527.0,0.0,862.0,917.0
834.0,0.0,991.0,953.0
635.0,0.0,584.0,674.0
645.0,0.0,595.0,830.0
685.0,0.0,1046.0,1066.0
787.0,0.0,673.0,492.0
825.0,0.0,1225.0,847.0
933.0,0.0,1299.0,887.0
885.0,0.0,1216.0,916.0
1148.0,0.0,817.0,723.0
956.0,0.0,845.0,1133.0
1281.0,0.0,956.0,1055.0
1081.0,0.0,863.0,782.0
944.0,0.0,754.0,469.0
1147.0,0.0,688.0,239.0
1421.0,0.0,943.0,308.0
758.0,0.0,1491.0,310.0
