Oct 31,Oct 30,Oct 29,Nov 01
1496.0,692.0,0.0,843.0
424.0,990.0,1.0,201.0
780.0,1273.0,181.0,245.0
1388.0,609.0,656.0,13.0
1284.0,748.0,1066.0,0.0
470.0,813.0,1189.0,0.0
615.0,733.0,931.0,0.0
1038.0,812.0,1020.0,0.0
564.0,425.0,1002.0,0.0
764.0,721.0,917.0,0.0
790.0,732.0,739.0,0.0
782.0,902.0,950.0,0.0
566.0,774.0,558.0,0.0
788.0,867.0,946.0,0.0
737.0,854.0,828.0,0.0
788.0,1014.0,867.0,0.0
907.0,761.0,696.0,0.0
765.0,862.0,1235.0,0.0
666.0,1046.0,926.0,0.0
626.0,1044.0,966.0,0.0
970.0,898.0,775.0,0.0
833.0,685.0,1184.0,0.0
581.0,817.0,852.0,0.0
895.0,904.0,842.0,0.0
