Nov 04,Nov 01,Nov 03,Nov 02
561.0,0.0,198.0,309.0
327.0,29.0,266.0,404.0
128.0,313.0,665.0,264.0
0.0,807.0,860.0,829.0
0.0,978.0,1030.0,1023.0
0.0,874.0,827.0,1088.0
0.0,883.0,949.0,943.0
0.0,726.0,1043.0,1366.0
0.0,713.0,936.0,627.0
0.0,713.0,750.0,875.0
0.0,744.0,718.0,641.0
0.0,1159.0,655.0,872.0
0.0,664.0,672.0,855.0
0.0,936.0,703.0,1039.0
0.0,859.0,795.0,837.0
0.0,1393.0,1042.0,1018.0
0.0,559.0,772.0,949.0
0.0,867.0,1046.0,1082.0
0.0,797.0,957.0,863.0
0.0,798.0,968.0,890.0
0.0,811.0,1036.0,989.0
0.0,850.0,1177.0,991.0
0.0,1842.0,1283.0,790.0
0.0,434.0,914.0,1202.0
