Hour,Dec 06,Dec 07,Dec 08,Dec 09
0,0.0,70.0,36.0,0.0
1,0.0,24.0,0.0,0.0
2,0.0,16.0,0.0,22.0
3,0.0,36.0,14.0,16.0
4,0.0,76.0,31.0,44.0
5,0.0,33.0,60.0,28.0
6,0.0,79.0,66.0,30.0
7,25.0,32.0,65.0,2.0
8,67.0,14.0,32.0,0.0
9,44.0,105.0,48.0,0.0
10,8.0,27.0,0.0,0.0
11,86.0,0.0,0.0,0.0
12,23.0,14.0,16.0,0.0
13,0.0,9.0,13.0,0.0
14,9.0,20.0,16.0,0.0
15,11.0,0.0,8.0,0.0
16,11.0,24.0,0.0,0.0
17,11.0,21.0,27.0,0.0
18,1.0,0.0,16.0,0.0
19,15.0,41.0,13.0,0.0
20,14.0,0.0,34.0,0.0
21,35.0,23.0,0.0,0.0
22,15.0,0.0,47.0,0.0
23,25.0,0.0,45.0,0.0
