Hour,Oct 23,Oct 26,Oct 24,Oct 25
0,0.0,9.0,0.0,6.0
1,0.0,0.0,11.0,19.0
2,10.0,30.0,83.0,13.0
3,57.0,3.0,35.0,44.0
4,40.0,0.0,22.0,110.0
5,23.0,0.0,3.0,69.0
6,0.0,0.0,0.0,94.0
7,36.0,0.0,0.0,77.0
8,184.0,0.0,29.0,97.0
9,76.0,0.0,32.0,21.0
10,38.0,0.0,9.0,104.0
11,39.0,0.0,11.0,74.0
12,10.0,0.0,35.0,12.0
13,22.0,0.0,27.0,49.0
14,17.0,0.0,17.0,50.0
15,0.0,0.0,47.0,9.0
16,42.0,0.0,37.0,16.0
17,13.0,0.0,22.0,23.0
18,27.0,0.0,20.0,46.0
19,6.0,0.0,23.0,13.0
20,0.0,0.0,20.0,19.0
21,0.0,0.0,33.0,3.0
22,12.0,0.0,42.0,4.0
23,0.0,0.0,0.0,0.0
