Hour,Oct 31,Oct 30,Oct 29,Nov 01
0,8.0,0.0,0.0,27.0
1,0.0,24.0,0.0,0.0
2,0.0,302.0,7.0,13.0
3,31.0,51.0,40.0,0.0
4,28.0,22.0,60.0,0.0
5,20.0,86.0,46.0,0.0
6,33.0,67.0,68.0,0.0
7,32.0,48.0,114.0,0.0
8,17.0,27.0,82.0,0.0
9,8.0,61.0,46.0,0.0
10,22.0,23.0,25.0,0.0
11,42.0,40.0,26.0,0.0
12,0.0,83.0,42.0,0.0
13,11.0,8.0,41.0,0.0
14,18.0,16.0,23.0,0.0
15,6.0,0.0,21.0,0.0
16,15.0,17.0,23.0,0.0
17,7.0,11.0,81.0,0.0
18,8.0,6.0,8.0,0.0
19,2.0,15.0,0.0,0.0
20,8.0,160.0,43.0,0.0
21,76.0,0.0,35.0,0.0
22,22.0,19.0,0.0,0.0
23,0.0,10.0,0.0,0.0
