Hour,Nov 12,Nov 13,Nov 10,Nov 11
0,0.0,50.0,0.0,0.0
1,23.0,54.0,14.0,0.0
2,0.0,17.0,29.0,0.0
3,13.0,0.0,7.0,15.0
4,32.0,0.0,28.0,9.0
5,39.0,0.0,16.0,77.0
6,67.0,0.0,1.0,103.0
7,19.0,0.0,58.0,31.0
8,11.0,0.0,16.0,17.0
9,26.0,0.0,12.0,0.0
10,16.0,0.0,0.0,33.0
11,33.0,0.0,19.0,67.0
12,41.0,0.0,0.0,13.0
13,47.0,0.0,54.0,29.0
14,17.0,0.0,24.0,36.0
15,21.0,0.0,31.0,11.0
16,21.0,0.0,13.0,14.0
17,44.0,0.0,14.0,14.0
18,0.0,0.0,23.0,44.0
19,10.0,0.0,0.0,10.0
20,35.0,0.0,4.0,21.0
21,17.0,0.0,23.0,11.0
22,0.0,0.0,0.0,0.0
23,18.0,0.0,0.0,3.0
